high_i_o_read,high_i_o_write,high_memory,network_outgoing_pod_adservice,network_outgoing_pod_cartservice,network_outgoing_pod_checkoutservice,network_outgoing_pod_currencyservice,network_outgoing_pod_emailservice,network_outgoing_pod_frontend,network_outgoing_pod_loadgenerator,network_outgoing_pod_loadgenerator,network_outgoing_pod_paymentservice,network_outgoing_pod_productcatalogservice,network_outgoing_pod_recommendationservice,network_outgoing_pod_redis,network_outgoing_pod_shippingservice,network_outgoing_system,cpu_pod_adservice,cpu_pod_cartservice,cpu_pod_checkoutservice,cpu_pod_currencyservice,cpu_pod_emailservice,cpu_pod_frontend,cpu_pod_loadgenerator,cpu_pod_loadgenerator,cpu_pod_loadgenerator,cpu_pod_paymentservice,cpu_pod_productcatalogservice,cpu_pod_recommendationservice,cpu_pod_redis,cpu_pod_shippingservice,cpu_system,high_pod_restart
1481,924,12429398016.0,4667,15967,17436,19312,1496,469535,28418.0,4122.0,1370,105058,12924,4003,4536,688845,0.00388,0.0185,0.00397,0.0665,0.00291,0.0278,0.0193,,0.00917,0.00807,0.0107,0.00987,0.00272,0.00235,0.0155,0.0
1450,924,12421001216.0,4667,15967,15867,19312,1496,469535,28082.0,4182.0,1370,103035,12924,4148,4677,685262,0.00376,0.0185,0.00397,0.0665,0.00291,0.0278,0.0196,,0.00917,0.00807,0.0107,0.0101,0.0028,0.00235,0.0155,0.0
1434,900,12414087168.0,4667,15230,15948,19261,1496,469535,27745.0,4243.0,1370,103035,12924,4148,4531,684133,0.00438,0.0185,0.00397,0.0665,0.00291,0.0278,0.0199,,0.00917,0.00807,0.0107,0.0101,0.0028,0.00235,0.0156,0.0
1460,900,12413386752.0,4201,15230,15976,19261,1496,461530,27409.0,4303.0,1370,98197,12924,4148,4574,670620,0.00438,0.0185,0.00397,0.0665,0.00299,0.0278,0.0202,,0.00917,0.00807,0.011,0.0101,0.0028,0.00235,0.0157,0.0
1457,900,12418494464.0,4343,15230,15976,19261,1459,461530,27072.0,4363.0,1370,98197,12924,4148,4574,670449,0.00452,0.0205,0.00476,0.0665,0.00299,0.0278,0.0205,,0.00917,0.00807,0.0114,0.0101,0.0028,0.00271,0.016,0.0
1326,926,12422897664.0,4303,14947,15976,17712,1459,461530,26736.0,4992.0,1370,98197,12924,4148,4574,668870,0.00452,0.0216,0.0048,0.0701,0.0029,0.0278,0.0208,,0.00917,0.00807,0.0114,0.0101,0.0028,0.00271,0.0164,0.0
1354,951,12422369280.0,4303,14947,15976,18303,1459,461530,26399.0,5060.0,1340,98197,12924,4148,4574,669162,0.00452,0.0216,0.00496,0.0767,0.00326,0.0278,0.0211,,0.00917,0.0103,0.0114,0.0101,0.0028,0.00271,0.0172,0.0
1326,937,12441591808.0,4303,14947,15976,18303,1459,439745,26063.0,5128.0,1298,97099,12924,4148,4574,645969,0.00452,0.0216,0.00496,0.0767,0.00326,0.0326,0.0201,,0.00505,0.0103,0.011,0.00999,0.0028,0.00271,0.0171,0.0
1166,924,12446932992.0,4303,14947,15976,18426,1323,434769,25687.0,5196.0,1317,97099,11126,3922,4574,638668,0.00452,0.0216,0.00496,0.0767,0.00326,0.0326,0.0201,,0.00499,0.0103,0.0141,0.0128,0.0028,0.00284,0.0176,0.0
1166,924,12451532800.0,4303,13358,15976,18426,1332,434769,25351.0,5264.0,1317,97099,11126,3798,4130,636252,0.00452,0.0216,0.00496,0.0767,0.00326,0.0339,0.0243,,0.00492,0.0103,0.0141,0.0128,0.00275,0.00284,0.0181,0.0
