i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod_restart
2330.0,28.1,12780036096,1141.0,3858.0,4034.0,5784.0,593.0,84648.0,2304.0,7308.0,431.0,24125.0,3175.0,1036.0,1320.0,139757.0,0.018,0.0207,0.00446,0.0483,0.00315,0.0323,0.00239,0.0285,0.00964,0.0135,0.0124,0.00287,0.00296,0.0166,0.0
2319.0,28.1,12776378368,1133.0,3858.0,4236.0,5784.0,593.0,106467.0,2279.0,7431.0,431.0,24125.0,3175.0,1071.0,1320.0,161904.0,0.018,0.0233,0.00446,0.0483,0.00342,0.0323,0.00242,0.0291,0.0107,0.0135,0.0124,0.00287,0.00305,0.017,0.0
2327.0,28.7,12777963520,1394.0,3858.0,4236.0,5590.0,593.0,106467.0,2254.0,7553.0,469.0,24125.0,3602.0,1071.0,1320.0,162534.0,0.018,0.0233,0.00558,0.0557,0.00342,0.0323,0.00239,0.0296,0.0107,0.0135,0.0124,0.00291,0.00305,0.0177,0.0
2363.0,28.7,12785958912,1430.0,3858.0,4236.0,6848.0,621.0,106467.0,2280.0,7676.0,469.0,26764.0,3602.0,1071.0,1529.0,166851.0,0.018,0.0233,0.00558,0.0557,0.00342,0.0323,0.00237,0.0301,0.0112,0.0135,0.0137,0.00282,0.00305,0.0179,0.0
2387.0,29.0,12781498368,1440.0,4293.0,4236.0,6848.0,621.0,106467.0,2255.0,7799.0,469.0,26764.0,3602.0,1071.0,1559.0,167423.0,0.018,0.0233,0.00558,0.0557,0.00352,0.0323,0.00234,0.0307,0.0112,0.0135,0.0137,0.0028,0.00305,0.018,0.0
2377.0,28.3,12821622784,1487.0,4293.0,4236.0,7184.0,618.0,112659.0,2229.0,7921.0,474.0,26764.0,3679.0,1071.0,1570.0,174185.0,0.018,0.0233,0.00586,0.0557,0.00352,0.037,0.00232,0.0312,0.0112,0.0135,0.0144,0.00306,0.00305,0.0185,0.0
2333.0,28.3,12808577024,1487.0,4551.0,4236.0,7184.0,622.0,112659.0,2203.0,7404.0,478.0,26764.0,3704.0,1037.0,1623.0,173951.0,0.018,0.0233,0.00586,0.0575,0.00352,0.037,0.00229,0.0318,0.0112,0.0156,0.0144,0.00306,0.00345,0.0189,0.0
2344.0,28.3,12827410432,1487.0,4551.0,4236.0,7184.0,642.0,112659.0,2177.0,8590.0,493.0,27870.0,3832.0,1212.0,1623.0,176556.0,0.0181,0.0244,0.00586,0.0579,0.00352,0.037,0.00227,0.03,0.0112,0.0157,0.0144,0.00306,0.00345,0.0189,0.0
2340.0,29.1,12826918912,1487.0,4551.0,4940.0,7184.0,642.0,112659.0,2151.0,8719.0,493.0,27870.0,3832.0,1212.0,1623.0,177363.0,0.0194,0.0267,0.00586,0.0597,0.00352,0.037,0.00224,0.0338,0.0112,0.0162,0.0144,0.0031,0.00345,0.0197,0.0
2335.0,29.1,12826681344,1638.0,4551.0,4940.0,7184.0,642.0,125191.0,2126.0,8848.0,479.0,27870.0,3832.0,1262.0,1744.0,190305.0,0.0194,0.0267,0.00586,0.0597,0.00374,0.037,0.00224,0.0343,0.0133,0.0162,0.0157,0.0031,0.00356,0.0201,0.0
2369.0,29.1,12830908416,1638.0,4551.0,4940.0,7184.0,642.0,125191.0,2038.0,8977.0,475.0,30642.0,4252.0,1262.0,1744.0,193535.0,0.0194,0.0267,0.00586,0.0597,0.00374,0.039,0.00222,0.0349,0.0133,0.0162,0.0157,0.0032,0.00356,0.0203,0.0
2358.0,29.1,12832915456,1638.0,5023.0,4940.0,7184.0,673.0,125191.0,2132.0,9106.0,549.0,30642.0,4252.0,1262.0,1744.0,194335.0,0.0194,0.0267,0.00565,0.0576,0.00374,0.0428,0.00219,0.0354,0.0133,0.0162,0.0157,0.0032,0.00356,0.0205,0.0
2362.0,29.1,12855832576,1638.0,5023.0,4940.0,8501.0,673.0,125191.0,2105.0,9235.0,549.0,30642.0,4252.0,1262.0,1744.0,195754.0,0.0194,0.0267,0.00704,0.0692,0.00374,0.0428,0.00216,0.036,0.0133,0.0179,0.0161,0.0032,0.00383,0.0218,0.0
2367.0,29.2,12859973632,1732.0,5023.0,4940.0,8501.0,673.0,130283.0,2079.0,9611.0,549.0,31983.0,4252.0,1262.0,1744.0,202630.0,0.0194,0.0267,0.00728,0.0692,0.00386,0.0428,0.00214,0.0365,0.0133,0.0179,0.0162,0.0032,0.00383,0.0219,0.0
2387.0,28.2,12869177344,1732.0,5290.0,5544.0,8501.0,673.0,138386.0,2052.0,9744.0,549.0,31983.0,4252.0,1262.0,1821.0,211788.0,0.0199,0.0277,0.00728,0.0692,0.00396,0.0428,0.00211,0.0375,0.0142,0.0179,0.0168,0.00326,0.00396,0.0222,0.0
2366.0,28.2,12867682304,1732.0,5290.0,5544.0,8501.0,690.0,138386.0,2026.0,9876.0,557.0,31983.0,4463.0,1457.0,1821.0,212326.0,0.0207,0.0277,0.00728,0.0692,0.00396,0.0428,0.00209,0.0381,0.0142,0.0183,0.0168,0.00326,0.00396,0.0224,0.0
2357.0,28.7,12871323648,1868.0,5290.0,5544.0,8501.0,690.0,138386.0,1999.0,10009.0,577.0,34045.0,4463.0,1457.0,1958.0,214786.0,0.0207,0.0268,0.00728,0.0734,0.00396,0.0428,0.00209,0.0387,0.0142,0.0189,0.0168,0.00326,0.00396,0.0227,0.0
2352.0,28.8,12876673024,1868.0,5626.0,5544.0,8501.0,706.0,138386.0,1972.0,10141.0,577.0,34045.0,4761.0,1457.0,1958.0,215542.0,0.0207,0.0311,0.00728,0.0734,0.00396,0.0428,0.00206,0.0392,0.0151,0.0189,0.0163,0.00326,0.00396,0.0232,0.0
2346.0,29.2,12876947456,1868.0,5626.0,5544.0,8501.0,706.0,138386.0,1946.0,10274.0,577.0,34045.0,4761.0,1457.0,1958.0,215648.0,0.0207,0.0311,0.00786,0.0734,0.00396,0.0454,0.00204,0.0398,0.0151,0.0189,0.0186,0.00315,0.00396,0.0237,0.0
2351.0,29.2,12878827520,1868.0,5626.0,5544.0,9323.0,706.0,146874.0,1990.0,10406.0,611.0,35706.0,4761.0,1457.0,1958.0,226829.0,0.0207,0.0311,0.00786,0.0734,0.00396,0.0454,0.00201,0.0403,0.0151,0.0208,0.0186,0.00339,0.00396,0.0239,0.0
2368.0,28.7,12877422592,1868.0,5626.0,5754.0,9387.0,706.0,146874.0,1962.0,10538.0,611.0,35706.0,4761.0,1457.0,1958.0,227208.0,0.0207,0.0322,0.00786,0.0734,0.00405,0.0438,0.00199,0.0409,0.0163,0.0208,0.0186,0.00339,0.00403,0.024,0.0
2361.0,28.3,12877238272,1963.0,5626.0,5754.0,9691.0,706.0,146874.0,1935.0,9995.0,611.0,35706.0,4761.0,1457.0,2038.0,227117.0,0.0208,0.0322,0.00821,0.081,0.00421,0.0508,0.00196,0.039,0.0163,0.0208,0.0186,0.00339,0.00457,0.0252,0.0
2375.0,28.8,12882300928,1963.0,5807.0,5585.0,9691.0,706.0,141853.0,1907.0,9995.0,611.0,35706.0,4761.0,1564.0,2038.0,222188.0,0.0208,0.0322,0.00821,0.081,0.00421,0.0508,0.00193,0.039,0.0163,0.0208,0.019,0.00335,0.00457,0.0252,0.0
2596.0,28.8,12893122560,1963.0,6025.0,6334.0,9691.0,712.0,162799.0,1880.0,11445.0,611.0,38524.0,5304.0,1647.0,2038.0,248974.0,0.0219,0.0322,0.00821,0.081,0.00421,0.0508,0.00196,0.0435,0.0163,0.0218,0.0197,0.00337,0.00457,0.0258,0.0
2804.0,28.8,12892119040,1900.0,6025.0,6334.0,9691.0,768.0,162799.0,1852.0,11584.0,619.0,38524.0,5304.0,1647.0,2181.0,249229.0,0.0219,0.0322,0.00821,0.0841,0.00421,0.0508,0.00193,0.044,0.0163,0.0218,0.0197,0.00348,0.00457,0.0261,0.0
2789.0,28.2,12900761600,1887.0,6487.0,6518.0,9691.0,768.0,162799.0,1825.0,11723.0,624.0,38524.0,5304.0,1647.0,2181.0,249977.0,0.0219,0.0319,0.00865,0.0841,0.00421,0.0508,0.0019,0.0446,0.0172,0.0218,0.0197,0.00348,0.00457,0.0262,0.0
2776.0,29.0,12910903296,2119.0,6487.0,6731.0,9691.0,768.0,162799.0,1748.0,11861.0,645.0,40045.0,5304.0,1647.0,2181.0,252026.0,0.0219,0.035,0.00865,0.0841,0.00423,0.0541,0.00187,0.0452,0.0182,0.0218,0.0214,0.00348,0.00457,0.027,0.0
2787.0,29.0,12920344576,2119.0,6487.0,6731.0,9388.0,768.0,162799.0,1748.0,12000.0,624.0,40045.0,5304.0,1647.0,2288.0,251947.0,0.0218,0.0362,0.00865,0.0841,0.00438,0.0541,0.00185,0.0457,0.0182,0.0211,0.0214,0.0036,0.00512,0.0272,0.0
