"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-06-12 11:18:16,1310
2024-06-12 11:18:18,1318
2024-06-12 11:18:20,1332
2024-06-12 11:18:22,1348
2024-06-12 11:18:24,1358
2024-06-12 11:18:26,1359
2024-06-12 11:18:28,1316
2024-06-12 11:18:30,1291
2024-06-12 11:18:32,1298
2024-06-12 11:18:34,1305
2024-06-12 11:18:36,1312
2024-06-12 11:18:38,1328
2024-06-12 11:18:40,1323
2024-06-12 11:18:42,1331
2024-06-12 11:18:44,1338
2024-06-12 11:18:46,1310
2024-06-12 11:18:48,1579
2024-06-12 11:18:50,1604
2024-06-12 11:18:52,1891
2024-06-12 11:18:54,1888
2024-06-12 11:18:56,1920
2024-06-12 11:18:58,1936
2024-06-12 11:19:00,1932
2024-06-12 11:19:02,1898
2024-06-12 11:19:04,1905
2024-06-12 11:19:06,1903
2024-06-12 11:19:08,1909
2024-06-12 11:19:10,1927
2024-06-12 11:19:12,1937
2024-06-12 11:19:14,1943
2024-06-12 11:19:16,1951
2024-06-12 11:19:18,1902
2024-06-12 11:19:20,1885
2024-06-12 11:19:22,1874
2024-06-12 11:19:24,1874
2024-06-12 11:19:26,1006
2024-06-12 11:19:28,1006
2024-06-12 11:19:30,1006
2024-06-12 11:19:32,1016
2024-06-12 11:19:34,1016
2024-06-12 11:19:36,1006
2024-06-12 11:19:38,997
2024-06-12 11:19:40,982
2024-06-12 11:19:42,1004
2024-06-12 11:19:44,1013
2024-06-12 11:19:46,1023
2024-06-12 11:19:48,1023
2024-06-12 11:19:50,996
2024-06-12 11:19:52,988
2024-06-12 11:19:54,988
2024-06-12 11:19:56,999
2024-06-12 11:19:58,1002
2024-06-12 11:20:00,1026
2024-06-12 11:20:02,1236
2024-06-12 11:20:04,1213
2024-06-12 11:20:06,1213
2024-06-12 11:20:08,1406
2024-06-12 11:20:10,1443
2024-06-12 11:20:12,1443
2024-06-12 11:20:14,1448
2024-06-12 11:20:16,1437
2024-06-12 11:20:18,1437
2024-06-12 11:20:20,1448
2024-06-12 11:20:22,1439
2024-06-12 11:20:24,1430
2024-06-12 11:20:26,1428
