i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_pod-pod-14,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_pod-pod-14,cpu_system,pod_restart
0,519,12484476928,3464,10862,11778,15791,1034,275356,19297.0,,,1116,67488,8692,2652,3631,421163,0.0122,0.0629,0.0177,0.165,0.00685,0.102,0.0765,,,0.0338,0.043,0.0397,0.00467,0.00937,0.0477,0
0,518,12445949952,3464,10862,12139,17827,1044,285362,19643.0,,,1116,67488,8692,2652,3631,433921,0.0122,0.0652,0.0185,0.159,0.00703,0.109,0.077,,,0.0338,0.044,0.0397,0.00467,0.00937,0.0483,0
0,518,12448669696,3464,10862,12139,17827,1071,285362,19778.0,,,1116,67488,8692,2742,3631,434173,0.0122,0.0652,0.0185,0.167,0.00703,0.109,0.0775,,,0.0338,0.0463,0.0397,0.00467,0.00937,0.0492,0
0,518,12408156160,3464,10862,12139,17827,1071,285362,19913.0,,,1116,67488,9005,2835,3631,434715,0.0122,0.0652,0.0185,0.167,0.00703,0.109,0.0781,,,0.0338,0.0463,0.0413,0.00467,0.00937,0.0494,0
0,518,12408266752,3716,10862,12139,17827,1071,285362,20048.0,,,1116,70874,9005,2740,3631,438392,0.0118,0.0652,0.0185,0.167,0.00703,0.109,0.0786,,,0.0346,0.0463,0.0413,0.00467,0.00937,0.0495,0
0,518,12412833792,3716,11312,12139,17827,1071,285362,20182.0,,,1129,70874,9005,2966,3739,439325,0.0117,0.0679,0.0188,0.167,0.00703,0.109,0.0791,,,0.0358,0.0463,0.0433,0.00467,0.00937,0.0501,0
0,518,12410961920,3716,11613,12139,17827,1071,296078,20347.0,,,1129,70874,9276,2966,3965,451002,0.0131,0.0679,0.0188,0.167,0.00725,0.109,0.0817,,,0.0358,0.0463,0.0433,0.00467,0.00969,0.0504,0
0,494,12412428288,3716,11613,12139,17827,1120,306802,20488.0,,,1129,70874,9276,2966,3965,461915,0.0131,0.0679,0.0188,0.167,0.00725,0.109,0.0817,,,0.0358,0.0463,0.0433,0.00475,0.0102,0.0505,0
0,514,12415311872,3716,11613,12923,18375,1088,306802,20628.0,,,1129,68628,9588,2966,3965,461421,0.0131,0.0679,0.0194,0.172,0.00725,0.11,0.0817,,,0.0358,0.0463,0.0433,0.00489,0.0102,0.051,0
0,522,12415901696,3914,11613,12923,18370,1145,306802,21062.0,,,1186,68156,9588,2966,3965,461691,0.0131,0.0679,0.0195,0.179,0.00725,0.117,0.0817,,,0.0358,0.0479,0.0433,0.00489,0.0102,0.0523,0
0,522,12408840192,4006,11613,12466,18244,1145,306802,21205.0,,,1186,74006,9588,2966,3965,467191,0.0131,0.0719,0.0201,0.179,0.007,0.12,0.0817,,,0.0379,0.0496,0.0433,0.00489,0.0102,0.0532,0
0,522,12409151488,4006,11940,13275,19425,1145,319504,21359.0,,,1186,75913,9588,3091,3965,484398,0.0131,0.0719,0.0201,0.173,0.00736,0.12,0.0817,,,0.0367,0.0496,0.0447,0.00489,0.0102,0.0528,0
0,522,12406370304,4006,12023,13275,19425,1145,319504,21507.0,,,1186,78507,9588,3091,3965,487223,0.0138,0.0719,0.0204,0.18,0.00762,0.12,0.0817,,,0.0385,0.0496,0.0466,0.00489,0.0102,0.0538,0
0,511,12411252736,4006,12423,13275,19425,1145,319504,21655.0,,,1203,78507,10151,3197,3965,488455,0.0141,0.0741,0.0204,0.18,0.00762,0.12,0.0838,,,0.0385,0.0496,0.0466,0.00494,0.0102,0.0542,0
0,511,12412821504,4006,12795,13275,19425,1145,319504,21802.0,,,1203,78507,10151,3197,4262,489272,0.0141,0.0741,0.0204,0.18,0.00762,0.12,0.0865,,,0.0385,0.0496,0.0466,0.00494,0.0102,0.0544,0
0,517,12407672832,4006,12795,13275,19425,1177,309704,22141.0,,,1203,78507,10501,3197,4262,480193,0.0141,0.0741,0.0204,0.18,0.00762,0.12,0.0865,,,0.0385,0.0524,0.0466,0.00508,0.011,0.0547,0
0,510,12413116416,4006,12795,13275,19425,1177,307574,22290.0,,,1203,78507,10501,3197,4262,478212,0.0141,0.0741,0.0204,0.18,0.00762,0.12,0.0865,,,0.0385,0.0524,0.0466,0.00508,0.011,0.0547,0
0,521,12415262720,4209,12795,13974,20380,1141,345890,22451.0,,,1252,78507,10501,3337,4262,518699,0.0141,0.0741,0.0215,0.18,0.00762,0.125,0.0865,,,0.0385,0.0538,0.0466,0.00508,0.011,0.0553,0
0,521,12416974848,4209,12795,13974,20720,1133,345890,22604.0,,,1252,75758,10501,3337,4262,516436,0.0143,0.0773,0.0215,0.188,0.00768,0.126,0.0865,,,0.0397,0.0538,0.0466,0.00508,0.011,0.0565,0
0,521,12416049152,4325,12795,14355,20720,1201,345890,22758.0,,,1252,75235,10501,3402,4262,516696,0.0143,0.0773,0.0215,0.188,0.00804,0.131,0.088,,,0.0406,0.0538,0.0498,0.00508,0.011,0.0573,0
0,521,12422127616,4325,12795,14355,20720,1201,345890,22911.0,,,1252,84141,10501,3402,4262,525755,0.0147,0.0792,0.0215,0.188,0.00804,0.131,0.0899,,,0.0406,0.0538,0.0498,0.00508,0.0111,0.0577,0
