Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,cart_i_o_read,cart_i_o_write,cart_memory,network_outgoing_pod_adservice,network_outgoing_pod_cartservice,network_outgoing_pod_checkoutservice,network_outgoing_pod_currencyservice,network_outgoing_pod_emailservice,network_outgoing_pod_frontend,network_outgoing_pod_loadgenerator,network_outgoing_pod_paymentservice,network_outgoing_pod_productcatalogservice,network_outgoing_pod_recommendationservice,network_outgoing_pod_redis,network_outgoing_pod_shippingservice,network_outgoing_system,cpu_pod_adservice,cpu_pod_cartservice,cpu_pod_checkoutservice,cpu_pod_currencyservice,cpu_pod_emailservice,cpu_pod_frontend,cpu_pod_loadgenerator,cpu_pod_paymentservice,cpu_pod_productcatalogservice,cpu_pod_recommendationservice,cpu_pod_redis,cpu_pod_shippingservice,cpu_system,"cart_pod_restart_{container=""main"", instance=""kube","cart_pod_restart_{container=""main"", instance=""kube.2","cart_pod_restart_{container=""redis"", instance=""kube","cart_pod_restart_{container=""server"", instance=""kube","cart_pod_restart_{container=""server"", instance=""kube.2","cart_pod_restart_{container=""server"", instance=""kube.3","cart_pod_restart_{container=""server"", instance=""kube.4","cart_pod_restart_{container=""server"", instance=""kube.5","cart_pod_restart_{container=""server"", instance=""kube.6","cart_pod_restart_{container=""server"", instance=""kube.7","cart_pod_restart_{container=""server"", instance=""kube.8","cart_pod_restart_{container=""server"", instance=""kube.9"
108,46,139.95652173913044,8648,0,12772225024,505,2191,,,339,,489.0,,12484,1927,,,69640,0.0156,0.0271,,,0.00174,,0.00581,,0.00856,0.00743,,,0.0133,0.0,0.0,,0,0,,,0,0.0,0,0,
110,44,181.22727272727272,8603,0,12774821888,500,2206,,,340,,489.0,,12570,1940,,,70295,0.0156,0.0271,,,0.00174,,0.00581,,0.00856,0.0107,,,0.0137,0.0,0.0,,0,0,,,0,0.0,0,0,
112,33,122.45454545454544,8603,0,12740669440,504,2221,,,340,,489.0,,12656,1952,,,88032,0.0156,0.028,,,0.00174,,0.00581,,0.00828,0.0107,,,0.0138,0.0,0.0,,0,0,,,0,,0,0,
114,58,208.0344827586207,8603,0,12746719232,649,2236,,,340,,489.0,,12742,1952,,,88785,0.0156,0.028,,,0.00174,,0.00581,,0.00823,0.0107,,,0.014,0.0,0.0,,0,0,,,0,,0,0,
116,44,408.72727272727275,8603,0,12665372672,654,2776,,,350,,489.0,,12828,2293,,,90277,0.0156,0.028,,,0.00168,,0.00581,,0.0122,0.0107,,,0.0141,0.0,0.0,,0,0,,,0,,0,0,
118,62,235.0,8538,0,12666527744,658,2794,,,350,,489.0,,12956,2309,,,90629,0.0156,0.028,,,0.00169,,0.00581,,0.0122,0.0107,,,0.0152,0.0,0.0,,0,0,,,0,,0,0,
120,61,235.0,8484,0,12673716224,683,2815,,,350,,489.0,,12612,2324,,,92032,0.0205,0.028,,,0.00174,,0.00581,,0.0123,0.0107,,,0.0156,0.0,0.0,,0,0,,,0,,0,0,
122,38,157.1578947368421,8726,0,12670681088,683,2835,,,349,,489.0,,17674,2340,,,98638,0.0205,0.028,,,0.00168,,0.00581,,0.0124,0.0112,,,0.0163,0.0,0.0,,0,0,,,0,,0,0,
124,61,333.9836065573771,8672,0,12552712192,683,2855,,,349,,489.0,,17797,2346,,,99569,0.0205,0.0271,,,0.00179,,0.00581,,0.0124,0.0112,,,0.0165,0.0,0.0,,0,0,,,0,,0,0,
126,68,355.2352941176471,8719,0,12554162176,683,2874,,,349,,489.0,,17920,2664,,,100591,0.0205,0.026,,,0.00179,,0.00581,,0.0124,0.0135,,,0.0167,0.0,0.0,,0,0,,,0,,0,0,
