i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod_restart
0.0,141.0,12618792960.0,338.0,775.0,988.0,1753.0,375.0,16166.0,4446.0,2284.0,214.0,3879.0,954.0,219.0,454.0,32845.0,0.00286,0.00845,0.00132,0.0249,0.00195,0.00838,0.00399,0.0108,0.00298,0.00367,0.00363,0.00229,0.00101,0.00635,0.0
0.0,143.0,12618063872.0,338.0,809.0,988.0,1753.0,375.0,16166.0,4405.0,2341.0,214.0,3879.0,954.0,219.0,454.0,32896.0,0.00286,0.00845,0.00132,0.0249,0.00195,0.00838,0.00395,0.0111,0.00298,0.00367,0.00363,0.00236,0.00101,0.00638,0.0
0.0,143.0,12620693504.0,338.0,1045.0,988.0,1753.0,375.0,16166.0,4364.0,2398.0,214.0,5363.0,954.0,219.0,504.0,34681.0,0.00286,0.00845,0.00156,0.0263,0.00195,0.00838,0.00392,0.0113,0.00298,0.00367,0.00363,0.00236,0.00101,0.00653,0.0
0.0,143.0,12620124160.0,348.0,1045.0,988.0,1753.0,377.0,22945.0,4324.0,2455.0,214.0,5519.0,954.0,219.0,504.0,41647.0,0.00286,0.00845,0.00156,0.0263,0.00195,0.00838,0.00388,0.0116,0.00298,0.00367,0.00352,0.00236,0.00101,0.00654,0.0
0.0,144.0,12618252288.0,348.0,1045.0,1007.0,1753.0,377.0,22945.0,4283.0,2512.0,231.0,5706.0,954.0,217.0,504.0,41883.0,0.00286,0.00845,0.00156,0.0319,0.00195,0.0103,0.00384,0.0104,0.00298,0.00438,0.00441,0.00236,0.00101,0.00719,0.0
0.0,141.0,12614127616.0,348.0,1045.0,1014.0,1753.0,377.0,22945.0,4242.0,2733.0,231.0,5706.0,954.0,216.0,504.0,42068.0,0.00286,0.0083,0.00163,0.0319,0.00196,0.0103,0.00381,0.0118,0.00362,0.00438,0.00444,0.0024,0.00101,0.00736,0.0
0.0,141.0,12607750144.0,348.0,1045.0,1150.0,1753.0,383.0,24061.0,4201.0,2794.0,231.0,5706.0,954.0,298.0,507.0,43431.0,0.00277,0.0109,0.00163,0.0319,0.00201,0.0106,0.00377,0.0121,0.00362,0.00438,0.00457,0.0024,0.00101,0.00763,0.0
0.0,141.0,12608540672.0,435.0,1045.0,1150.0,2375.0,383.0,24061.0,4160.0,2854.0,235.0,5706.0,991.0,298.0,522.0,44215.0,0.00275,0.0113,0.00163,0.0319,0.00201,0.011,0.00374,0.0123,0.00362,0.00462,0.00457,0.0024,0.0012,0.00775,0.0
0.0,141.0,12612329472.0,454.0,1045.0,1150.0,2375.0,388.0,24061.0,4220.0,2915.0,235.0,6828.0,957.0,298.0,522.0,45448.0,0.00331,0.0113,0.00163,0.0319,0.00201,0.011,0.00374,0.0126,0.00362,0.00462,0.00457,0.0024,0.0012,0.00782,0.0
0.0,143.0,12616060928.0,454.0,1316.0,1150.0,2375.0,388.0,24061.0,4179.0,2975.0,235.0,6828.0,1219.0,313.0,522.0,46015.0,0.00331,0.0113,0.00163,0.0319,0.00201,0.011,0.00371,0.0129,0.00362,0.00462,0.00457,0.00234,0.0012,0.00783,0.0
