i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system
0,1536,13177544704,368,1076,1082,1837,363,25824,3990.0,2280,199,3990,981,257.0,451,42698,0.00266,0.0079,0.00145,0.0237,0.00199,0.00967,0.00361,0.0116,0.0027,0.00439,0.00477,0.00244,0.00129,0.00652
0,1536,13191745536,368,1076,1082,1886,363,25824,3949.0,2326,230,6551,981,317.0,550,45504,0.00287,0.0079,0.00145,0.0247,0.00199,0.00986,0.00358,0.0118,0.0027,0.00455,0.00477,0.00244,0.00129,0.00666
0,1509,13194915840,379,1076,1082,1899,389,25824,3908.0,2372,230,6551,981,317.0,550,45558,0.00287,0.0079,0.00145,0.0359,0.00199,0.00988,0.00354,0.011,0.00261,0.00455,0.00477,0.00244,0.00129,0.00752
0,1451,13197365248,379,1076,1082,1961,389,25824,3867.0,2418,230,6551,981,317.0,550,45626,0.00287,0.0079,0.00145,0.0359,0.00209,0.0141,0.0035,0.013,0.00378,0.00455,0.0049,0.00251,0.00129,0.00816
0,1543,13201625088,460,1076,1082,1961,389,26532,3826.0,2464,230,6551,981,317.0,550,46420,0.00287,0.00991,0.00147,0.0359,0.00209,0.0141,0.00346,0.0133,0.00378,0.00455,0.0059,0.00252,0.00129,0.00843
0,1543,13205491712,460,1373,1082,2746,389,27430,3785.0,2271,230,6551,1296,322.0,550,48486,0.00287,0.0103,0.00147,0.0359,0.00209,0.0141,0.00343,0.0135,0.00378,0.00455,0.0059,0.00252,0.00129,0.00848
0,1543,13200232448,460,1373,1121,2746,389,27430,3744.0,3034,228,6551,1342,334.0,550,49302,0.00292,0.0103,0.00142,0.0359,0.00209,0.0141,0.00337,0.0138,0.00378,0.00627,0.0059,0.00252,0.00152,0.00866
0,1543,13208268800,460,1402,1446,2746,389,27430,3703.0,3089,236,6551,1342,334.0,550,49677,0.00325,0.0103,0.00201,0.0359,0.00204,0.0141,0.00333,0.014,0.00398,0.00627,0.0059,0.00252,0.00154,0.00877
0,1543,13219590144,478,1412,1446,2746,389,26627,3641.0,3143,268,6551,1342,334.0,550,48926,0.00325,0.0103,0.00201,0.0372,0.00205,0.0141,0.0033,0.0143,0.00398,0.00627,0.0059,0.00252,0.0016,0.0089
0,1514,13245734912,478,1457,1446,2746,389,26444,3601.0,3198,268,9752,1342,323.0,547,51990,0.00325,0.0103,0.00201,0.0385,0.00212,0.0141,0.00326,0.0145,0.00398,0.00643,0.00605,0.00252,0.0016,0.00905
