"Time","sum(rate(container_fs_writes_bytes_total{namespace=""default""}[5m]))"
2024-06-12 11:22:08,2360
2024-06-12 11:22:10,2322
2024-06-12 11:22:12,2292
2024-06-12 11:22:14,2334
2024-06-12 11:22:16,2334
2024-06-12 11:22:18,2298
2024-06-12 11:22:20,2321
2024-06-12 11:22:22,2324
2024-06-12 11:22:24,2398
2024-06-12 11:22:26,2398
2024-06-12 11:22:28,2355
2024-06-12 11:22:30,2320
2024-06-12 11:22:32,2320
2024-06-12 11:22:34,2320
2024-06-12 11:22:36,2320
2024-06-12 11:22:38,2317
2024-06-12 11:22:40,2323
2024-06-12 11:22:42,2368
2024-06-12 11:22:44,2368
2024-06-12 11:22:46,2328
2024-06-12 11:22:48,3761
2024-06-12 11:22:50,3761
2024-06-12 11:22:52,2700
2024-06-12 11:22:54,2667
2024-06-12 11:22:56,3015
2024-06-12 11:22:58,3025
2024-06-12 11:23:00,3075
2024-06-12 11:23:02,2999
2024-06-12 11:23:04,3073
2024-06-12 11:23:06,3018
2024-06-12 11:23:08,3018
2024-06-12 11:23:10,3018
2024-06-12 11:23:12,3018
2024-06-12 11:23:14,3018
2024-06-12 11:23:16,3073
2024-06-12 11:23:18,3165
2024-06-12 11:23:20,3073
2024-06-12 11:23:22,3026
2024-06-12 11:23:24,3016
2024-06-12 11:23:26,3032
2024-06-12 11:23:28,3032
2024-06-12 11:23:30,3032
2024-06-12 11:23:32,2963
2024-06-12 11:23:34,3034
2024-06-12 11:23:36,3034
2024-06-12 11:23:38,3079
2024-06-12 11:23:40,3129
2024-06-12 11:23:42,3081
2024-06-12 11:23:44,3070
2024-06-12 11:23:46,3024
2024-06-12 11:23:48,3076
2024-06-12 11:23:50,3075
2024-06-12 11:23:52,3024
2024-06-12 11:23:54,3024
2024-06-12 11:23:56,3090
2024-06-12 11:23:58,3090
2024-06-12 11:24:00,3090
2024-06-12 11:24:02,2952
2024-06-12 11:24:04,2952
2024-06-12 11:24:06,2952
2024-06-12 11:24:08,3100
2024-06-12 11:24:10,3100
2024-06-12 11:24:12,3100
2024-06-12 11:24:14,3100
2024-06-12 11:24:16,3100
2024-06-12 11:24:18,3048
2024-06-12 11:24:20,3017
2024-06-12 11:24:22,2971
2024-06-12 11:24:24,3063
2024-06-12 11:24:26,3063
2024-06-12 11:24:28,3063
2024-06-12 11:24:30,3063
2024-06-12 11:24:32,3063
2024-06-12 11:24:34,3136
2024-06-12 11:24:36,3084
2024-06-12 11:24:38,3040
2024-06-12 11:24:40,3052
2024-06-12 11:24:42,3001
2024-06-12 11:24:44,3001
2024-06-12 11:24:46,3089
2024-06-12 11:24:48,3089
2024-06-12 11:24:50,3089
2024-06-12 11:24:52,3089
2024-06-12 11:24:54,3061
2024-06-12 11:24:56,3016
2024-06-12 11:24:58,3016
2024-06-12 11:25:00,3016
2024-06-12 11:25:02,3087
2024-06-12 11:25:04,3087
